Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
InfoWarriors of Norway,,100064597969729,COMMUNITY,DE,InfoWarriors of Norway is part of a global network of voluntary InfoWarriors dedicated to enlighteni,2017-06-30 14:04:19,1339,1469,2020-01-22 03:01:12 PST,2020-01-22,03:01:12,Link,10,0,0,3,0,0,0,0,7,0,,-,0,0,0,N/A,https://www.facebook.com/1257163091078768/posts/2516569378471460,"Paul Joseph Watson writes: French Intellectual Sentenced to 2 Months in Prison For Calling Mass Immigration an “Invasion!” InfoWarriors of Norway comments: This is yet another criminal example of what happens to honest people who dare to tell the truth about the criminal Bilderberg Group's orchestrated mass invasion of Europe to create chaos and lower wages to profit them! Imagine that calling a proven globalist-orchestrated political-supported and run mass invasion of Europe A MASS INVASION – leads to being fined and sentenced to two months jail time! Truth does indeed come at a price in a criminal run world! This tells a lot about how our countries' globalist run courts work, doesn't it? Please extend your support for Mr. Renaud Camus by YOU taking action, publicly criticizing courts and judges that through ""their"" criminal actions against honest people demonstrate that they don't work for us – the people – as they should! And demand Mr. Camus' sentence overturned! If good, honest people just stand by watching, doing nothing to put an end to these forms of criminal injustices committed against us by globalist-controlled, political-run courts, we lose the little we have left of our so-called freedom. SHARE!",https://summit.news/2020/01/21/french-intellectual-sentenced-to-2-months-in-prison-for-calling-mass-immigration-an-invasion/,,,French Intellectual Sentenced to 2 Months in Prison For Calling Mass Immigration an “Invasion”,Forced to pay 1800 euros to anti-racism organizations for his crime of opinion.,,,,10,-0.33
Action Française - Toulon,actionfrancaisetoulon,100064934581011,POLITICAL_ORGANIZATION,FR,Section toulonnaise de l'Action Française,2018-05-04 13:57:18,4753,5695,2023-05-25 23:00:40 PDT,2023-05-25,23:00:40,Photo,10,9,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100064934581011/posts/638341781673636,"🔴 Lors de cette journée royaliste, nous aurons le plaisir de recevoir comme invité de marque Renaud Camus. Qui nous fera une intervention sur un sujet qui fait tant parler : "" Les Remplacements "". ➡️ Ci-dessous le programme du week-end pour toutes questions et/ou inscription ⤵️ https://www.billetweb.fr/midi-blanc&src=agenda:=:https://www.billetweb.fr/midi-blanc",https://www.facebook.com/photo.php?fbid=638341725006975&set=a.297667332407751&type=3,,"MIDI BLANC RENCONTRES ROYALISTES DE PROVENCE Dimanche 11 juir à 11hconférence Les Remplacements RENAUD CAMUS écrivain, essayiste ACTION FRANÇAISE Provence",Photos from Action Française - Toulon's post,,,,,10,-2.7
Parti de l’In-nocence,PartiDeLInNocence,100064576157127,POLITICAL_PARTY,,L'In-nocence est un parti politique français fondé en octobre 2002 par l'écrivain Renaud Camus. ,2012-09-27 17:02:49,667,665,2021-06-15 14:02:35 PDT,2021-06-15,14:02:35,YouTube,10,6,0,4,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/466986486666997/posts/4509486572416948,https://youtube.com/watch?v=zhKRNixn_i4:=:https://www.google.com/sorry/index?continue=https://youtube.com/watch%3Fv%3DzhKRNixn_i4&q=EgQ0KuTRGIqrpIYGIhAX3cw8Nw3BCyMG9L1KK-h2MgFy,https://youtube.com/watch?v=zhKRNixn_i4,https://www.google.com/sorry/index?continue=https://youtube.com/watch%3Fv%3DzhKRNixn_i4&q=EgQ0KuTRGIqrpIYGIhAX3cw8Nw3BCyMG9L1KK-h2MgFy,,"Le remplacisme global, ultime avatar de l'égalitarisme (Renaud Camus)","Tout le monde connaît ce syntagme qu'est le Grand Remplacement, fait majeur de notre époque. Néanmoins, selon R. Camus, ce dernier est la conséquence d'une c...",,,,10,0.53
Renaud Camus,RenaudCamusOfficiel,100024849356522,POLITICIAN,,"Fondateur du Conseil National de la Résistance Européenne
Écrivain - Président du parti de l'In-",2018-03-17 09:26:50,2494,2730,2021-08-29 03:20:05 PDT,2021-08-29,03:20:05,Link,10,8,0,0,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/430026910763755/posts/1269993206767117,"Racisme, racialisme, In-nocence, banques, Laurent de Boissieu [Journal, extrait, dimanche 29 août 2021] Plieux, dimanche 29 août 2021, neuf heures du matin. Verwaerde, qui essaie de comprendre et démêler l’affaire du compte bancaire fermé et de notre impossibilité à en ouvrir un autre, a tendance à incriminer à présent… Laurent de Boissieu, le journaliste, qui tient un site très détaillé et apparemment très répertorié dans lequel il qualifie l’In-nocence de parti racialiste — ce serait une des premières choses sur lesquelles on tombe, quand on fait une recherche sur notre particule. Racialiste, ce n’est pas si faux que ça, après tout, encore que cela me concerne moi bien plus que l’In-nocence, qui ne s’est guère prononcé sur ces questions-là, à ma connaissance. En ce qui me concerne on pourrait aller jusqu’à raciste, à condition, et c’en est une fameuse, qu’on ne saurait trop souligner, de prendre le mot dans la nouvelle acception, parfaitement fondée étymologiquement, que j’en propose, à savoir : qui croit à l’existence des races et se montre prêt à les défendre toutes — cela n’implique strictement rien d’une quelconque hiérarchie qui n’est pas mon propos, et encore moins d’une quelconque hostilité de principe envers telle ou telle, que je ne ressens nullement. Boissieu est en tout cas obsédé par ce thème, ce qui m’a poussé à lui dédier ma petite brochure Le Mot “race”, tiré-à-part de l’article afférent dans le Dictionnaire des délicatesses. Je ne me vois guère racialiste ou raciste en ceci que je crois parfaitement possible l’intégration dans un peuple ou même une race d’individus, de personnalités individuelles qui désirent y être intégrées, par amour pour un peuple ou une civilisation : ainsi Jean Messiha, Malika Sorel ou mon co-fondateur du CNRE, Karim Ouchikh. Si j’étais racialiste ou raciste au sens où l’insinue et même l’affirme Boissieu, je n’aurais pas Karim Ouchikh pour principal associé politique depuis des années. En revanche je crois parfaitement absurde par implication, et si on la pousse à son terme logique, la position soutenue par Boissieu. Il ne veut pas qu’on tienne le moindre compte de l’origine d’une population ou d’une partie d’une population : prendre en considération cette donnée est ce qu’il nomme être racialiste, le pire des crimes de l’esprit à ses yeux, et apparemment aux yeux des banquiers. Si donc on adopte cette façon de voir, une France peuplée majoritairement voire exclusivement de noirs et d’arabes (en grande majorité musulmans) serait toujours la France, et ne poserait aucune espèce de problème à personne, et certainement pas à M. de Boissieu. Quel changement de peuple, puisqu’il n’y pas de races ? Il suffirait que ces populations nouvelles adoptassent les valeurs de la République (ce qui est de toute façon à peu près impossible, car ces valeurs sont liées à une civilisation, c’est-à-dire à une race, au sens véritable du mot, c’est-à-dire en son sens flou, complexe, stratifié, emphatiquement non-scientifique). Si être racialiste c’est ne pas vouloir du changement de peuple, et même le considérer comme un crime, le crime contre l’humanité du XXIe siècle, je suis en effet racialiste. Jamais la France ne sera la France avec un autre peuple que les Français, jamais l’Europe ne sera l’Europe avec une autre population qu’européenne. Elles pourront rester, au mieux, des expressions géographiques. Boissieu c’est Metternich (en moins malin). Pour ma part mes positions sont exactement celles du général de Gaulle — qui se faisait une certaine idée de la France, certes, mais ne la réduisait nullement à une idée, et encore moins à un ensemble de valeurs. L’idée que la France est une idée est directement génocidaire. https://www.renaud-camus.net/journal/2021/08/29",https://www.renaud-camus.net/journal/2021/08/29,,,"Journal de Renaud Camus, dimanche 29 août 2021","Entrée du dimanche 29 août 2021 du Journal de l’écrivain français Renaud Camus, publié en ligne au fur et à mesure de son écriture. - Diary of French writer Renaud Camus.",,,,10,-2.7
Renaud Camus,RenaudCamusOfficiel,100024849356522,POLITICIAN,,"Fondateur du Conseil National de la Résistance Européenne
Écrivain - Président du parti de l'In-",2018-03-17 09:26:50,2535,2780,2021-02-17 00:35:08 PST,2021-02-17,00:35:08,YouTube,10,5,0,2,3,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/430026910763755/posts/1146248039141635,,https://youtu.be/Onhf2Mx9E-8,https://www.google.com/sorry/index?continue=https://www.youtube.com/watch%3Fv%3DOnhf2Mx9E-8%26feature%3Dyoutu.be&q=EgQ0KuTRGOCqs4EGIhkA8aeDS37HEU0clKcxF5Gza1VG-SLTeeBeMgFy,,Bibliothèque de Renaud Camus,"« Renaud Camus, êtes-vous d'extrême-droite ? », extraits choisis :

🔴 https://youtu.be/Onhf2Mx9E-8:=:https://www.google.com/sorry/index?continue=https://www.youtube.com/watch%3Fv%3DOnhf2Mx9E-8%26feature%3Dyoutu.be&q=EgQ0KuTRGOCqs4EGIhkA8aeDS37HEU0clKcxF5Gza1VG-SLTeeBeMgFy

#ProcèsAuch : 24 février
#ProcèsSchiappa : 5 mars",,,,10,-0.38
Renaud Camus,RenaudCamusOfficiel,100024849356522,POLITICIAN,,"Fondateur du Conseil National de la Résistance Européenne
Écrivain - Président du parti de l'In-",2018-03-17 09:26:50,2551,2796,2021-01-13 03:27:20 PST,2021-01-13,03:27:20,Photo,10,7,0,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/430026910763755/posts/1124527764646996,,https://www.facebook.com/BibliothequeRenaudCamus/photos/a.109310594282460/171643824715803/?type=3,,,Bibliothèque de Renaud Camus,"« Toute l’intellection journalistique est là. »

Quelques nouvelles de Twitter, où vient de se dérouler une petite affaire merveilleuse, en ce qu'elle expose parfaitement la nature des attaques portées contre Camus.

Ce matin, un journaliste de ""Libération"" et de ""Slate"", Pierre Plottu, a fait une lecture à contre-sens d'un tweet de Renaud Camus.

Plottu : « Régulièrement l'idéologue d'extrême droite Renaud Camus (vulgarisateur de cette théorie fumeuse du ""grand remplacement"" qui justifie le pire) prétend qu'il n'est pas antisémite. Le reste du temps : »

[Il cite alors un tweet de Renaud Camus : ]

« Parler de la ""théorie"" du Grand Remplacement"", c'est comme parler de la ""théorie des chambres à gaz"". »

Réponse de Camus : 

« Ce tweet de ce M. Pierre Plottu est évidemment une abomination mais avant cela c’est une merveille. Toute l’intellection journalistique est là. La haine d’abord. C’est la haine qui est chargée de comprendre. Et naturellement elle comprend exactement à l’envers. »
[...]
« En effet, c’est merveilleux. On tient là la carcasse, la structure réduite à l’os, de tout un système de lecture systématiquement à l’envers, qui veut faire passer pour négationniste l’antinégationnisme le plus radical et pour néonazi l’antitotalitarisme fondamental. »

Et que s'est-il passé ensuite ? Twitter a supprimé le tweet originel... de Camus.

« Du coup le tweet, Le MIEN, a été retiré de Twitter, qui avalise donc, sur sa dénonciation, l’abominable interprétation plottuvienne. Est-ce donc Plottu qu’il faut poursuivre, ou Twitter (devant des juges entièrement plottuviens (ou plottuïques, je ne sais jamais) ???? »

Le général Martinez a écrit ceci, en réponse à Pierre Plottu : 

« Votre tweet est non seulement stupide mais ignoble. Votre haine de ceux qui ""ne pensent pas comme il faut"" vous conduit à comprendre l'inverse de ce qui est écrit par Renaud Camus. Le Grand Remplacement n'est pas une théorie, c'est un constat, un fait comme les chambres à gaz. 

Mais la subtilité de Renaud Camus vous échappe totalement. Ou peut-être vous agace-t-elle tellement, parce qu'elle renforce la compréhension de la réalité, que vous ne supportez pas de devoir reconnaître cette dernière.

Enfin, si vous ne voulez pas le voir, plus d'un habitant sur cinq et d'une naissance sur trois dans notre pays sont aujourd'hui d'origine extra-européenne. Votre rôle de journaliste devrait vous inciter, sans haine et avec un minimum d'objectivité, à en tirer quelques conclusions. »",,,,10,-3.7
Renaud Camus,RenaudCamusOfficiel,100024849356522,POLITICIAN,,"Fondateur du Conseil National de la Résistance Européenne
Écrivain - Président du parti de l'In-",2018-03-17 09:26:50,2551,2798,2020-11-19 01:00:39 PST,2020-11-19,01:00:39,YouTube,10,9,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/430026910763755/posts/1086486915117748,,https://www.youtube.com/channel/UCozwyO_j1T1yzrqOePHV2Rw,,,Bibliothèque de Renaud Camus,"Nouvel entretien avec Renaud Camus : 

Le ""tweet banquise"" 

(où il est question de surpopulation, d'écologie, de la justice et de l'injustice en France, des mosquetaires de Poitiers, des phoques et de la banquise.)

Vidéo complète : https://youtu.be/7R8KVRfggxQ:=:https://www.youtube.com/watch?v=7R8KVRfggxQ&feature=youtu.be

Abonnez-vous à la chaîne de Renaud Camus : 
https://www.youtube.com/channel/UCozwyO_j1T1yzrqOePHV2Rw?",,,,10,-0.38
Renaud Camus,RenaudCamusOfficiel,100024849356522,POLITICIAN,,"Fondateur du Conseil National de la Résistance Européenne
Écrivain - Président du parti de l'In-",2018-03-17 09:26:50,2561,2786,2023-05-06 01:56:55 PDT,2023-05-06,01:56:55,Status,10,10,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100024849356522/posts/1243949213110045,DIRECT — LE GRAND REMPLACEMENT Conférence de Renaud Camus au Parlement européen Lien vers le direct : https://www.facebook.com/fdwvb,,,,,,,,,10,-3.5
Jean-Yves Le Gallou,jylegallou,100063589351523,POLITICIAN,FR,"Ancien député européen, essayiste, Président de la Fondation Polémia.",2013-05-07 19:30:24,3459,3666,2022-11-29 06:00:16 PST,2022-11-29,06:00:16,Photo,10,5,1,2,0,0,0,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/100063589351523/posts/590320833097557,Un beau programme pour ce 8e Forum de la dissidence !,https://www.facebook.com/photo.php?fbid=517456627055554&set=a.335010461966839&type=3,,,Polémia,"8e Forum de la dissidence 
🔴 Faire face au système Macron 

Trois ans après le Forum de la dissidence consacré à la dictature Macron, le bilan est ahurissant !

Interdiction de sortir à plus d’un kilomètre de chez soi. Des hélicoptères traquant des randonneurs. L’interdiction des réunions de famille. La quasi-obligation vaccinale, sous couvert de pass sanitaire. La liberté de prescription des médecins bafouée. La censure croissante de toute opinion dissidente.

Nous vivons dans une société de propagande ou toutes les atteintes à notre identité et à nos libertés sont imposées par la synchronisation progressiste des médias, de l’école, de l’université, du monde professionnel, du sport, de la culture, du divertissement, des institutions de l’État ou des fonctions politiques.

💪Cette année nous avons choisi de mettre en avant la première ligne de la Résistance dans le combat pour notre identité et nos libertés. 

Le lanceur d’alerte Damien Rieu en pointe face au Grand Remplacement et à l’islamisation.

L’influenceur Nicolas Faure, qui déconstruit chaque semaine sur Sunrise Europe l’idéologie égalitaire, source de tous nos maux.

Yann Vallerie, de Breizh-Info qui lutte contre l’implantation de foyer d’immigrés africains dans des bourgades rurales de Callac.

Nicolas Demade, qui nous donnera ses recettes pour faire face au Grand Endoctrinement scolaire.

Jean-Eudes Gannat qui montrera comment il est possible de faire face aux persécutions politiques.

Thaïs d’Escufon qui nous dira comment se faire entendre malgré la censure.

L’historien français du droit, le professeur Jean-Luc Coronel de Boissezon exposera comment Faire face aux persécutions universitaires.

Le chroniqueur régulier de Cnews, l’avocat Pierre Gentillet, qui montrera comment Faire face au gouvernement des juges.

Renaud Camus qui traitera lui un sujet fondamental : faire face à la laideur.

Et Michel Geoffroy, premier contributeur de Polémia, qui s’attaquera à Faire tomber le mur de l’ouest. 

🔴 Voilà un programme de combat. Avec des intellectuels mais aussi des hommes et des femmes de terrain.

✔ Billets en vente ici https://my.weezevent.com/8e-forum-de-la-dissidence-polemia-faire-face-au-systeme-macron",,,,10,-6.1
Le Québec aux Québécois,QuebecAuxQuebecois,100064394903920,ACTIVITY_GENERAL,CA,"Pour l'indépendance du Québec, la défense de notre culture, langue et patrie, et la survivance de",2013-09-16 04:34:01,6453,6531,2021-09-02 03:45:40 PDT,2021-09-02,03:45:40,Link,10,4,2,0,0,0,1,2,0,1,,-,0,0,0,N/A,https://www.facebook.com/1380784355489115/posts/3106593482908185,"#Le dîner de con ''Entre vivre ensemble, il faut choisir...'' -Renaud Camus Ils font venir des masses de musulmans arriérés et inassimilables et après ils s'étonnent que des synagogues soient visées par le terrorisme ! Non content d'importer les guerres du tiers-monde sur le territoire, ils sont obligés d'utiliser notre argent collectif en surveillance pour contrer la violence de ces islamo-racailles. Encore une preuve que les immigrants n'ont pas tous l'intention de vivre en harmonie et unis par le marché et la société de consommation... https://www.valeursactuelles.com/societe/la-menace-terroriste-contre-les-synagogues-est-tres-elevee-selon-le-ministere-de-linterieur/",https://www.valeursactuelles.com/societe/la-menace-terroriste-contre-les-synagogues-est-tres-elevee-selon-le-ministere-de-linterieur/,,,"La menace terroriste contre les synagogues est “très élevée”, selon le ministère de l'Intérieur - Valeurs actuelles","Plusieurs fêtes juives vont avoir lieu au cours du mois de septembre dans un contexte de menace terroriste « très élevée », selon le ministère de l’Intérieur. Gérald Darmanin a...",,,,10,-2.5
AOC,analyse.opinion.critique,100064193974549,MEDIA_NEWS_COMPANY,FR,"AOC est un quotidien d’idées.
Un journal en ligne conçu par des journalistes & écrit par des au",2017-10-16 10:27:21,14274,15750,2023-06-07 09:10:02 PDT,2023-06-07,09:10:02,Link,10,6,1,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100064193974549/posts/639386111544516,"En réponse à celles et ceux qui ont vu dans l’usage du terme décivilisation par Emmanuel Macron un clin d’œil appuyé aux fantasmes de l’idéologue d’extrême droite Renaud Camus, l’entourage du chef de l’Etat a brandi la référence au sociologue Norbert Elias. Alors chiche, prenons au sérieux cette drôle de note de bas de page. ✍️ Une #Analyse de Dominique Linhardt, sociologue, chargé de recherche au CNRS (laboratoire LIER FYT), au sommaire de l’édition du jeudi 8 juin du quotidien d’idées AOC. #décivilisation #EmmanuelMacron #civilisation #DerProzessDerZivilisation #NorbertElias #Elias #Macron",https://aoc.media/analyse/2023/06/07/decivilisation-prendre-elias-au-serieux/,,,Décivilisation : prendre Elias au sérieux - AOC media,"En réponse à celles et ceux qui ont vu dans l'usage du terme décivilisation par Emmanuel Macron un clin d'œil appuyé aux fantasmes de l'idéologue d'extrême droite Renaud Camus, l'entourage du chef de l'Etat a brandi la référence au sociologue Norbert Elias. Alors chiche, prenons au sérieux...",,,,10,-0.09
American Greatness,theamericangreatness,100063501626745,MEDIA_NEWS_COMPANY,US,American Greatness is the leading voice of the next generation of American Conservatism.,2016-07-01 19:44:41,57743,58310,2020-02-02 06:00:51 PST,2020-02-02,06:00:51,Link,10,5,0,3,0,2,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/522359791285231/posts/1382632441924624,Edward Ring: The immigrant waves to the West that retain the most confidence in their collective identity will overwhelm those cultures that do not. https://amgreatness.com/2020/02/01/the-undifferentiated-human-matter-of-replacism:=:https://amgreatness.com/2020/02/01/the-undifferentiated-human-matter-of-replacism/,https://amgreatness.com/2020/02/01/the-undifferentiated-human-matter-of-replacism/,,,The Undifferentiated Human Matter of Replacism,"Just over a year ago, an English translation was published of the 2012 book You Will Not Replace Us. Written by Renaud Camus, a French author and political thinker, it was intended as a condensed summary of lengthier volumes he’d already published on the subject of culture and demographics. The ph...",,,,10,-13.4
FigaroVox,figarovox,100064488471068,WEBSITE,FR,"Débats, opinions, controverses. Donnez-nous votre avis!",2014-02-02 10:25:33,11550,12718,2023-05-26 10:01:49 PDT,2023-05-26,10:01:49,Link,10,6,3,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/190801317797781/posts/2279182395626319,Emmanuel Macron a associé les violences à un «processus de décivilisation». Une expression qui correspond au titre d’un ouvrage publié par Renaud Camus.,https://www.lefigaro.fr/vox/societe/la-decivilisation-n-est-pas-un-concept-d-extreme-droite-c-est-le-reel-20230525?utm_medium=Social&utm_campaign=echobox&utm_source=Facebook&origine=VWT16001#Echobox=1685116076,https://www.lefigaro.fr/vox/societe/la-decivilisation-n-est-pas-un-concept-d-extreme-droite-c-est-le-reel-20230525,,"La «décivilisation» n’est pas un concept d’extrême droite, c’est le réel",,,,,10,-2.6
The Bridge Initiative,gubridgeinit,100067657896924,EDUCATIONAL_RESEARCH,US,The Bridge Initiative is a research project at Georgetown University that extends education about Isl,2015-04-09 16:09:41,1134173,1133336,2022-05-23 06:46:01 PDT,2022-05-23,06:46:01,Photo,10,10,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1422985291339371/posts/2835835786720974,"In his book, The Strange Death of Europe, Douglas Murray points to places where what he calls “population replacement” is happening. ""Murray stops short of endorsing Renaud Camus,"" writes Peter Oborne. ""But he certainly echoes many of his themes."" https://buff.ly/3MR6X2s:=:http://www.middleeasteye.net/opinion/douglas-murray-mainstreaming-great-replacement-theory",https://www.facebook.com/gubridgeinit/photos/a.1429311847373382/2835835786720974/?type=3,,Douglas Murray and the mainstreaming of the 'Great Replacement' theory Peter Oborne 2022 4:03 UTC Last update: days 20 hours ago The Buffalo killings by far-right teenager are further proof that has been made respectable in the West racist conspiracy theory Members fthe Buffalo and multiple faiths gather AFP) Bethel Gospel Destiny Worship Pavilion May 2022 New City memorial for the,Timeline photos,,,,,10,-2.6
星期日生活 Sunday Mingpao,SundayMingpao,100069834671890,MEDIA_NEWS_COMPANY,HK,"最美好的
星期日生活是....

大懶覺睡到自然醒
拉開窗簾
下午三時的太陽熱烈地向你招手
於是你
施施然梳洗出門
在橫街小巷之間的咖啡店
點一份豐盛的all day breakfast
翻開《星期日生活》
慢慢嘆~


",2011-07-14 09:05:41,105846,107439,2022-04-16 22:34:04 PDT,2022-04-16,22:34:04,Link,10,9,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/252024504823919/posts/8138934089466215,【法國總統大選之向左走向右走】一文睇通現任總統馬克龍同勒龐（Marine Le Pen）拗手瓜背後，各陣營點樣「左右」局勢~ 巴黎大學政治哲學研究生楊健偉撰文分析： https://bit.ly/3JJ7uBv:=:https://news.mingpao.com/pns/%E5%89%AF%E5%88%8A/article/20220417/s00005/1650132409298/%E5%91%A8%E6%97%A5%E8%A9%B1%E9%A1%8C-%E8%A7%A3%E6%A7%8B%E6%B3%95%E5%9C%8B%E7%B8%BD%E7%B5%B1%E5%A4%A7%E9%81%B82022%EF%BC%88%E4%B8%AD%EF%BC%89-%E5%8F%B3%E7%BF%BC%E4%B8%8D%E5%86%8D-%E5%8F%AA%E5%89%A9%E6%A5%B5%E5%8F%B3 // 共和黨仿效當年美國民主黨的策略，派佩克雷絲出陣，欲以「男女平等」形象吸回右翼中產和知識分子的支持；佩克雷絲在衣著、談吐和舉止上，也明顯地仿效當年的希拉莉。可是，佩克雷絲畫虎不成，甫一出陣，便被視為過度弱勢，其後在各大總統辯論上均較其他候選人失色，共和黨支持度轉眼已跌至近10%。然而，最致命的錯誤則發生在二月的造勢大會上：佩克雷絲演講時舉止做作，語氣突兀，嚇怕了在場觀眾，支持者一度提早離場，各大報章均將她的造勢大會報道為「災難級」，她於大會上的生硬表情、動作和金句也被大量網民做成迷因圖、傳閱和嘲笑。而當中最為公關災難的，乃她使用了澤穆爾（Eric Zemmour）的常用用語：「大換血」（Grand Remplacement）！ 自去年秋季起，澤穆爾在公開場合作出多番大膽言論，為種族主義（racism）和同化論（assimilation）辯護，讓他於法國各大報章上成為熱門。他於去年十一月尾宣布參選，並成功於今年三月底在巴黎「人權廣場」舉行造勢大會。法國右翼一向視「人權廣場」為第五共和的象徵基石，過往共和黨和UMP的重要候選人皆於此地舉辦造勢大會，與會人數之多寡往往決定候選人及後的政治地位。澤穆爾故挑此地，不止在於展示實力，更是為挑戰共和黨地位，以及「人權廣場」背後所承載的人權精神和普世價值。 由於澤穆爾辯論時立論方式具結構性，又不時引經據典，以類哲學用語和概念來包裝論述，成功建立出重視邏輯，思考縝密的「才子」形象。這形象有助他豎立起其權威性、獨立性，以及給人一種高格調的菁英味道，吸引了一批信奉精英論、優生學和排外主義的年輕選民極右。近年，由於勒龐為極右陣營實行「去妖魔化」策略，以擴大至大眾選民光譜，其主張變得相對溫和，也愈來愈注重民生。然而，不少忠實支持者因此認為勒龐近年做法有違初心，便轉投提出「大換血」理論的澤穆爾。「大換血」一詞出自極右作家雷諾卡繆（Renaud Camus）手筆，指非洲和穆斯林國家有意以大量移民來冲淡所謂「法國人」的人口，以報復法國昔日殖民主義。澤穆爾以「大換血」論來合理化其驅逐移民的政綱和急切性；更以兩大十九世紀保皇史家班維爾（Jacques Bainville）和莫拉斯（Charles Maurras）的看法，指控普世價值的過度包容性才是讓法國步入現今政治和文化深淵的始作俑者…… // Follow星期日生活ig： www.instagram.com/sundaymingpao:=:https://www.instagram.com/sundaymingpao/ #星期日生活 #SundayMingpao #法國大選,https://bit.ly/3JJ7uBv,https://news.mingpao.com/pns/%E5%89%AF%E5%88%8A/article/20220417/s00005/1650132409298/%E5%91%A8%E6%97%A5%E8%A9%B1%E9%A1%8C-%E8%A7%A3%E6%A7%8B%E6%B3%95%E5%9C%8B%E7%B8%BD%E7%B5%B1%E5%A4%A7%E9%81%B82022%EF%BC%88%E4%B8%AD%EF%BC%89-%E5%8F%B3%E7%BF%BC%E4%B8%8D%E5%86%8D-%E5%8F%AA%E5%89%A9%E6%A5%B5%E5%8F%B3,,周日話題：解構法國總統大選2022（中） 右翼不再，只剩極右 - 20220417 - 副刊,【明報專訊】上星期日的總統初選出現了兩大受害者，他們皆因票數不足5%而失去政府補助，並須賠上數百萬歐羅的選舉支出：第一位是近年冒起，隸屬左翼綠黨的雅多（Yannick Jadot），而另一位則是傳統右翼大黨共和黨的代表佩...,,,,10,-6.5
Media Diversified,WritersOfColour,100064169615747,MEDIA_NEWS_COMPANY,GB,Media Diversified is a non-profit independent publishing platform that aims to advance the discourse,2013-07-04 08:51:12,34878,35594,2022-07-03 05:55:17 PDT,2022-07-03,05:55:17,Photo,10,4,3,1,0,1,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/589716264385093/posts/5502511643105506,"""Media coverage of the twin scare stories of 'overpopulation' and not enough white babies is worth looking at side by side."" The *great replacement or white genocide theory is getting more and more prevelant in UK media too. *The Great Replacement, also known as replacement theory or great replacement theory, is a white nationalist far-right conspiracy theory disseminated by French author Renaud Camus.",https://www.facebook.com/WritersOfColour/photos/a.2131541333535904/5502511499772187/?type=3,,,Photos from Media Diversified's post,,,,,10,-2.9
